x,y,hash,block_timestamp
-189686884320.08258,-147826430.20891377,3349a1ded11947440f6f763b0a7d7f0968405591c2825a604c7f8bed6a2b68da,1266210278000
-175544749006.29657,-134422330.2272815,eb131c9e8c6272278acf1748576db0577ad41a335e69b1cad4cf4562b09be12a,1266197205000
-196757952810.37173,-118931980.20948574,3b0260683033dc2096811be04d3d44de9ccacd92a02605ba8259313d2958dd2b,1266181218000
-196757952810.37186,-118931980.20948574,422877c8953993b12be67d4efcfeaa91d4f5516720eb656cc020270595f2c7bf,1266181218000
-196757952810.37173,-118931980.20948574,ece50d468b52d6c5f920208eb82802c6e5491fc846d7f3c35b355bce26e055b9,1266181218000
-175544749622.95328,-108083330.2345002,77414165362270494f5924bd17df1d6880f53037bbff59675dacdc392e09b935,1266170866000
-196757953096.30615,-106718980.21283291,616dd91654bf26c580d6fb5966b08a4cd17790c77f3b67e13fc98f560a22fe50,1266169005000
606963655394.0582,-70110005.18796243,fbd3ad0f424ebfb2c4f1530a6fb098edd9b53b2d3e5611f46c12222096169f42,1266151213000
93155826645.66,-80067430.52136718,9548ad8a01c29caf81fadd7048b1048e91a830284ae9ee8174c025315ef72c5e,1266149141000
-200293487532.72925,-84101755.21535803,e804ecab2a1d57b6a7f76310d8f21db97ec1b02dd9454525583593bded50a2b9,1266146305000
-196757953638.13712,-83575980.21917567,caea3d4d3c4dba3bb413b0bb3b474e64ebd81e24e94b2e1e8c5ef1dbc6bdd8dd,1266145862000
592821519512.8983,-59280105.176236436,5f4d42248e16acece4bf2bb976130be6a804a2fa87a6f425ebbe0a5830d0ff21,1266140052000
599892587281.8074,-57362555.18410911,686aae6e7532046fe30a8051fe5ec253171333fa9a07ce690897512efe980bbd,1266138300000
602272707744.4064,-16207831.067859275,854a3aaaee36be32e441cc8f86890b7eebe4710f30003dfff362cc2d90d163d4,1266097201000
-196899376695.0991,-10935291.238937257,3b457b2f8639b1db8f14a23243f326f6c93383b175238f7586341682db5df39c,1266073218000
-140189412859.4804,-9607580.298224652,92f034f515e1eba78eb745de1da4d8536908b14ad076370175d47eefe143ac6e,1266073218000
36587281007.47522,53527169.50079533,1ef0388b300b4d1486445d5f77b77c9039438215484b6e43e408066a6fb16ac7,1266014222000
-196757958179.93695,110416019.72765726,a7eb819c207cc5a34df51e905eeec30a97804795b410ed4a16b28c3d4a5a9224,1265951870000
79013686292.5163,121772469.43800797,827ad8b453acc6a6628d57918a0d8074bc265d5b783b807f445db3b4d5d86268,1265946970000
79013686292.51627,121772469.43800801,6e97a007559ad2d139592149d6de696bc934eec243c0f4f820aca0ac7ad5f365,1265946970000
64871550427.25336,131923369.44992049,30a07bdbf5ced5e6178ff17e536a3b6bec43030197ef2baac47420576c2eb648,1265936488000
-189686890929.142,134463569.7137195,2f1d1ad1f24bc0e11c6953a6363570e8283c517dc78a5ed8a53b2fd395a9dac2,1265927988000
192150770490.831,156905269.3108271,8c396cc30a288d8a01fbe313b8c6f8abd27e18a685e33783cc14ba486d45564b,1265914486000
-189686891574.268,162018569.70616755,8da81d30c43fdc97e303107f0e5081f3852b157e2414b00dc771be568c408dbd,1265900433000
-111905145737.33914,166926619.62400463,e2c44ecfd08f05537e9c65629626fd681a4ab0a1eed88aab9f30746c69063ac8,1265897346000
-196757959466.53668,165370019.71259606,e64027f59384b8f4c554eff4da2df52367e9e594c57248b63d7313c0cb4c1ce7,1265896916000
